excel_row,img_path,gt_label,pred_label,fixed_pred
56,/home/betty/datasets/locount_class_samples/locount_class_samples/Sauce/000043_Sauce_count_4.jpg,Sauce,- Sauce,Sauce
79,/home/betty/datasets/locount_class_samples/locount_class_samples/Skin care set/000087_Skin care set_count_6.jpg,Skin care set,- Skin care set,Skin care set
80,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000204_Baby Toys_count_3.jpg,Toys,- Toys,Toys
82,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000916_Children Toys_count_10.jpg,Toys,- Toys,Toys
83,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000916_Children Toys_count_6.jpg,Toys,- Toys,Toys
84,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/001282_Baby Toys_count_7.jpg,Toys,- Toys,Toys
85,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000955_Baby Toys_count_5.jpg,Toys,- Toys,Toys
86,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/001282_Baby Toys_count_10.jpg,Toys,- Toys,Toys
89,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000955_Baby Toys_count_6.jpg,Toys,- Toys,Toys
91,/home/betty/datasets/locount_class_samples/locount_class_samples/Toys/000916_Children Toys_count_7.jpg,Toys,- Toys,Toys
108,/home/betty/datasets/locount_class_samples/locount_class_samples/Carbonated drinks/000014_Carbonated drinks_count_10.jpg,Carbonated drinks,- Carbonated drinks,Carbonated drinks
120,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001094_Juicer_count_1.jpg,Juicer,- Juicer,Juicer
121,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001646_Juicer_count_9.jpg,Juicer,- Juicer,Juicer
124,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001094_Juicer_count_4.jpg,Juicer,- Juicer,Juicer
126,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001646_Juicer_count_7.jpg,Juicer,- Juicer,Juicer
127,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001646_Juicer_count_8.jpg,Juicer,- Juicer,Juicer
133,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001642_Juicer_count_6.jpg,Juicer,- Juicer,Juicer
134,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001094_Juicer_count_2.jpg,Juicer,- Juicer,Juicer
135,/home/betty/datasets/locount_class_samples/locount_class_samples/Juicer/001094_Juicer_count_3.jpg,Juicer,- Juicer,Juicer
149,/home/betty/datasets/locount_class_samples/locount_class_samples/Storage bottle/000292_Storage bottle_count_4.jpg,Storage bottle,- Storage bottle,Storage bottle
194,/home/betty/datasets/locount_class_samples/locount_class_samples/Storage box/000010_Storage box_count_9.jpg,Storage box,- Storage box,Storage box
196,/home/betty/datasets/locount_class_samples/locount_class_samples/Storage box/000010_Storage box_count_7.jpg,Storage box,- Storage box,Storage box
197,/home/betty/datasets/locount_class_samples/locount_class_samples/Storage box/000010_Storage box_count_5.jpg,Storage box,- Storage box,Storage box
215,/home/betty/datasets/locount_class_samples/locount_class_samples/Shampoo/000053_Shampoo_count_8.jpg,Shampoo,- Shampoo,Shampoo
217,/home/betty/datasets/locount_class_samples/locount_class_samples/Hair drier/001010_Hair drier_count_7.jpg,Hair drier,- Hair drier,Hair drier
257,/home/betty/datasets/locount_class_samples/locount_class_samples/Flour/000021_Flour_count_1.jpg,Flour,- Flour,Flour
258,/home/betty/datasets/locount_class_samples/locount_class_samples/Flour/000021_Flour_count_3.jpg,Flour,- Flour,Flour
262,/home/betty/datasets/locount_class_samples/locount_class_samples/Flour/000021_Flour_count_8.jpg,Flour,- Flour,Flour
264,/home/betty/datasets/locount_class_samples/locount_class_samples/Electric Hot pot/002723_Electric Hot pot_count_9.jpg,Electric Hot pot,- Electric Hot pot,Electric Hot pot
